total price NTD,the unit price (NTD / square meter),main building area,auxiliary building area,balcony area,property age,distance to city center,area (square meters)
22400000,145473.0,79.26,3.6,10.16,2,9.986691558060855,153.98046372866443
5800000,39721.0,103.69,3.1,10.71,6,3.2225722937480095,146.01847889025956
4800000,85379.0,28.51,2.83,3.13,42,14.693789124660649,56.2199135618829
8400000,54180.0,99.86,4.28,13.31,4,20.789649154334448,155.03875968992247
4500000,78878.0,18.96,1.0,2.78,29,15.593881899644206,57.050128045842946
2000000,57687.0,18.69,1.99,1.75,18,5.130841640127715,34.66985629344566
8400000,67481.0,79.8,1.74,10.32,26,11.62993597464114,124.47948311376535
30080000,107023.0,126.55,4.77,22.01,44,0.5765532193175735,281.0610803285275
3800000,100769.0,27.2,0.12,3.56,34,26.11488265754981,37.71001002292372
3500000,102911.0,31.39,0.64,1.98,10,2.993251726580117,34.00996977971257
2000000,28707.0,46.84,1.59,5.77,36,18.119703426535203,69.6694186087017
22600000,110308.0,103.26,4.76,11.45,14,29.594581378071048,204.88087899336404
45800000,150297.0,150.9,6.53,21.53,31,16.32942405662631,304.7299679966999
7800000,83111.0,50.18,1.45,4.88,48,27.759231893669277,93.85039284811879
10300000,76330.0,81.21,1.43,10.33,15,7.465437726963428,134.94039041006158
10430000,97068.0,71.88,2.59,9.89,8,22.918684563658775,107.450447109243
39900000,109516.0,141.88,6.32,20.83,14,16.172339742219254,364.3303261623872
9000000,79526.0,70.37,1.62,5.7,23,21.755223811048214,113.17053542237758
49200000,80662.0,417.36,6.8,69.84,40,2.3390701940816228,609.9526418883737
16000000,103808.0,75.45,3.27,10.77,21,4.858303211233688,154.13070283600493
7600000,116547.0,38.96,1.14,4.29,16,4.4269493933306086,65.20974370854677
6100000,43970.0,126.82,8.01,3.9,45,20.771382409398267,138.73095292244713
20300000,62257.0,149.03,110.3,16.6,18,25.41099984269205,326.06775141751126
8500000,97287.0,52.95,3.59,4.01,47,22.61367884425333,87.37035780731239
14500000,170348.0,41.76,1.56,5.22,24,1.3989285056410277,85.11987226148825
2567600,25761.0,86.57,10.39,2.71,26,26.082841941704338,99.6700438647568
43000000,85719.0,252.8,3.03,42.35,25,10.9473267883972,501.6390765174582
11560000,121697.0,45.24,2.62,2.38,45,12.216333058870433,94.99001618774497
63500000,119671.0,447.92,11.02,71.68,41,3.593640412708187,530.6214538192211
22000000,101322.0,143.68,5.85,5.38,29,22.253453579767662,217.12954738358894
11500000,87161.0,54.29,2.12,6.83,15,5.877374415040763,131.9397436927066
5900000,59530.0,69.45,1.59,8.11,45,17.136970214555674,99.10969259197043
9400000,93756.0,57.33,0.86,4.67,1,25.30094458339897,100.26025001066598
9380000,85890.0,70.61,2.63,8.7,25,3.131527697005658,109.20945395273024
19300000,74185.0,199.88,13.79,19.24,7,16.292399138457945,260.1604097863449
14200000,95914.0,76.28,4.07,9.66,9,7.379884140719136,148.0492941593511
19000000,135395.0,57.5,4.56,5.92,24,10.616342496208677,140.33014513091325
31000000,140618.0,98.5,6.76,7.63,1,14.482113272201406,220.45541822526278
10080000,77586.0,92.86,3.62,3.62,44,10.97557694673949,129.9203464542572
11880000,93883.0,83.4,2.09,10.07,8,19.64027378860149,126.54048123728471
14200000,80622.0,119.05,3.49,12.65,24,14.647672001750381,176.13058470392696
23000000,88025.0,234.58,5.03,21.68,11,17.733884799067994,261.2894064186311
7460000,27910.0,258.68,4.45,4.16,17,22.236263024149928,267.28771049802936
9550000,58722.0,143.95,5.36,13.32,8,16.953396845537902,162.63070058921699
6000000,71293.0,56.69,5.18,5.48,35,17.802795322492393,84.15973517736664
7000000,52691.0,95.09,1.67,15.47,35,17.151527004417918,132.85001233607258
9980000,81297.0,72.23,0.79,9.61,33,11.673792465563036,122.75975743262359
22000000,73751.0,174.47,42.03,14.15,5,10.454681599221583,298.3010399858985
21060000,131707.0,72.1,0.52,7.39,42,27.03959821577786,159.90038494537117
14380000,95803.0,70.76,1.55,7.13,39,18.4228790576604,150.09968372597936
51000000,134158.0,178.1,10.02,19.13,41,7.708418086207309,380.1487797969558
11650000,96664.0,77.97,8.8,9.45,28,15.198307086543736,120.52056608458165
12000000,52588.0,168.91,6.12,12.03,7,10.245280197786963,228.18894044268654
6800000,69758.0,52.6,0.58,12.3,9,28.0439088009163,97.47985894091
5000000,31841.0,120.69,0.7,19.05,8,0.7222637124552048,157.0302440249992
12050000,113937.0,53.7,1.17,7.78,12,7.147317532519583,105.76020081272985
11800000,105423.0,68.81,1.38,8.25,34,11.2780261803847,111.930034243002
8500000,72813.0,69.73,2.3,4.97,33,14.89038912385777,116.73739579470698
38500000,125665.0,140.93,8.57,13.25,48,25.599116776166312,306.3701110094298
10800000,67775.0,77.81,3.0,8.03,23,3.092684923934244,159.35079306528957
7980000,28556.0,228.65,24.34,12.49,24,24.27301415886373,279.45090348788347
35000000,125475.0,114.08,4.48,11.54,37,2.1417779360307723,278.9400278940028
35200000,124544.0,138.45,11.33,14.48,35,25.348264041296357,282.63103802672146
62000000,221097.0,261.87,9.13,9.42,44,2.0232465972981286,280.4199061950185
158530000,270679.0,315.84,18.07,34.43,40,1.0381532021366509,585.6752832691121
23150000,146575.0,73.88,2.97,6.38,22,21.060363139809436,157.9396213542555
10000000,59179.0,132.43,7.14,11.52,27,29.919038275667635,168.97886074452086
10380000,87936.0,84.13,0.97,11.41,35,26.950002757733614,118.04039301310044
24500000,123507.0,96.76,5.71,9.5,1,17.49195332526697,198.3693231962561
7220000,76241.0,45.72,2.58,5.7,35,27.563170586023183,94.69970225993887
16500000,94849.0,87.18,4.02,9.49,37,0.6563501887293598,173.96071650729053
9000000,49658.0,168.1,0.35,12.79,47,29.264481306881702,181.23967940714488
10250000,68773.0,90.36,4.34,13.08,14,14.977088988134142,149.04104808573132
7000000,54645.0,110.62,13.6,3.88,3,21.825434850342383,128.09955165156921
9600000,82744.0,88.25,2.72,13.52,1,24.7154134580239,116.02049695446196
3800000,95238.0,26.09,1.68,3.76,5,21.694489489678332,39.9000399000399
30800000,136893.0,103.02,18.34,16.03,26,16.283583595324863,224.99324289773764
11200000,137037.0,34.45,1.55,5.12,14,14.560274781729154,81.72975181885184
16000000,104194.0,67.14,7.23,7.41,39,25.23818548172743,153.55970593316314
14680000,78738.0,165.21,3.62,17.61,27,6.549788024409043,186.4411084863725
15000000,85920.0,98.04,6.2,10.96,9,29.05582496187491,174.58100558659217
10500000,80919.0,90.38,1.39,11.1,15,21.473098125684075,129.75938901864828
9580000,72946.0,72.62,2.2,7.67,15,6.385454356480433,131.330024949963
24000000,120343.0,175.16,13.06,11.21,26,22.2192919191054,199.42996268997783
6000000,69132.0,79.69,0.04,7.06,42,16.13028068384294,86.79048776254123
33300000,137808.0,101.42,7.31,11.7,13,21.36328782151111,241.6405433646813
19700000,111906.0,87.23,2.75,13.69,32,23.149495292563746,176.04060550819437
23000000,101273.0,152.76,0.52,11.57,39,3.0750602978954253,227.10890365645335
8000000,68989.0,66.42,0.82,11.31,49,15.430066712600738,115.96051544449115
139880000,55364.0,1549.19,32.86,18.06,32,27.994423096579556,2526.551549743516
9000000,86530.0,74.63,1.22,8.62,4,9.958944668705671,104.01016988327747
13800000,76803.0,85.76,3.78,8.88,30,18.019551377958013,179.6804812312019
7750000,81786.0,75.9,1.51,9.5,37,11.392299204541935,94.75949428997627
24100000,151687.0,71.13,6.86,5.78,23,13.90090518046344,158.87979853250442
12500000,122730.0,61.88,2.31,9.69,39,16.68379197917552,101.84958852766235
20000000,114116.0,84.86,4.44,10.57,45,16.69319840672483,175.26026148831014
30000000,106071.0,135.46,7.41,22.83,15,6.451048638741957,282.82942557343665
43730000,67454.0,363.22,30.6,28.8,43,20.69486066245508,648.2936519702316
5750000,81792.0,53.92,3.8,6.76,29,3.092109281658376,70.30027386541471
22110000,109754.0,191.54,2.06,7.85,36,4.595330816539601,201.45051660987298
6550000,54452.0,75.24,2.31,8.07,13,0.5799715327227253,120.28942922206714
15800000,155176.0,41.73,1.13,4.0,32,3.942533892179599,101.81986905191525
6800000,42252.0,151.43,4.5,5.01,7,14.45840293103082,160.93912714191043
15250000,115207.0,52.93,3.06,5.71,22,18.38000549114724,132.37042888018956
32000000,154209.0,194.09,1.68,11.74,28,23.931538774010644,207.5105862822533
6000000,70291.0,54.76,2.24,6.58,2,3.6476278783463636,85.3594343514817
13580000,105558.0,104.87,6.24,17.34,42,25.596460070485413,128.6496523238409
13800000,107552.0,104.53,6.24,17.34,45,22.506248503687186,128.31002677774472
13580000,105558.0,104.87,6.24,17.34,6,12.551289641609548,128.6496523238409
13580000,105837.0,104.53,6.24,17.34,28,28.021672979448663,128.31051522624412
14500000,96647.0,129.14,5.47,15.22,28,29.732419555493024,150.03052345132286
29480000,139150.0,111.21,4.87,14.82,44,6.547553396570499,211.85770750988144
25870000,139106.0,99.29,2.55,11.64,44,11.687243256432112,185.97328655845183
7500000,70291.0,62.06,5.13,7.32,20,27.830257995896478,106.69929293935212
21600000,120758.0,88.02,5.57,6.57,30,21.787098247162675,178.87013696815117
10350000,89494.0,97.98,0.36,7.35,11,1.9187919969405869,115.65021118734217
8600000,69015.0,62.06,4.94,7.32,28,23.55467721166674,124.61059190031153
20470000,99968.0,108.38,5.97,12.46,25,24.924256171736012,204.76552496798976
7000000,62494.0,67.08,5.33,7.75,39,22.63980678057675,112.0107530322911
17000000,92901.0,68.64,5.88,5.95,33,24.086345362125712,182.99049525839334
38500000,137840.0,162.95,13.86,19.82,1,24.841413962437517,279.3093441671503
10580000,68970.0,99.83,1.19,12.57,27,5.998947110250251,153.40002899811512
23600000,102001.0,124.11,4.39,23.46,13,7.452906508917493,231.3702806835227
8300000,75959.0,62.07,5.43,5.6,41,19.19587762974523,109.26947432167353
8680000,69674.0,62.06,5.13,7.32,3,27.28205084864422,124.58018773143498
15500000,73571.0,101.03,1.9,14.35,39,9.827799177746591,210.68083891750825
5760000,38916.0,111.02,4.02,11.18,6,17.85504693595417,148.01110083256245
4600000,33819.0,106.86,1.27,9.87,8,20.647970870805405,136.0182146130873
25850000,125496.0,109.43,8.0,12.35,27,13.832483738321658,205.9826608019379
24600000,118973.0,109.43,8.0,12.35,9,21.556582418232118,206.7696031872778
8800000,63902.0,75.73,0.98,9.72,37,27.040189636119106,137.7108697693343
22050000,92302.0,213.92,2.03,18.42,33,18.91099555336421,238.88973153344458
8500000,50158.0,84.44,6.22,4.72,42,16.423541326481676,169.46449220463336
4000000,40535.0,88.44,6.3,3.94,44,13.442967923956003,98.68015295423707
3600000,35026.0,81.13,0.01,10.7,24,17.53584499173071,102.78079141209388
9630000,74495.0,107.91,14.88,6.48,15,10.983192328642678,129.270420833613
6350000,83597.0,45.17,1.75,5.48,32,12.048722250944307,75.95966362429274
28400000,100634.0,265.32,8.97,7.92,32,16.18979565080113,282.2107836317746
844070,3645.0,209.72,12.83,9.01,24,2.4652638155291005,231.5692729766804
16800000,66092.0,240.64,0.93,12.62,41,7.2562490322814925,254.19112751921563
10300000,85612.0,72.29,1.47,12.99,49,16.514054663095564,120.31023688268
11000000,100853.0,52.3,2.7,4.88,49,13.230080222525057,109.06963600487839
6700000,54990.0,47.47,4.26,5.16,12,10.318065684418286,121.84033460629205
22000000,109333.0,173.89,3.91,23.42,39,22.051199535874392,201.22012567111486
4800000,37897.0,94.39,3.89,6.38,2,20.964669418398483,126.65910230361243
7760000,65513.0,72.96,2.68,14.49,3,5.418557419804803,118.4497733274312
7800000,70251.0,89.26,15.51,6.26,49,26.419558903516428,111.03044796515353
4600000,56553.0,46.12,3.09,4.56,37,15.114996978916986,81.33962831326366
8880000,53656.0,147.27,3.42,14.81,49,22.373096878601842,165.49873266736245
3460000,30153.0,86.4,22.14,6.21,17,17.407950053092968,114.74811793188074
8030000,68580.0,73.56,1.37,7.5,49,29.931932169753377,117.08953047535725
14500000,88875.0,70.24,3.72,9.41,2,22.69589204114527,163.15049226441633
10500000,65633.0,143.0,7.53,9.45,2,21.35592360668204,159.98049761552878
10150000,107048.0,42.47,3.13,3.23,28,23.467872201997157,94.81727823032658
13000000,109779.0,109.36,3.3,5.76,23,4.722275573679854,118.41973419324279
19940000,140097.0,129.58,5.48,7.27,37,6.534065498499166,142.32995710115134
4000000,38528.0,81.42,0.01,10.97,32,21.56489042559662,103.82059800664452
18180000,71258.0,235.52,1.33,18.28,33,15.072453870360448,255.1292486457661
8380000,87264.0,55.7,6.42,7.82,1,22.761741109873437,96.03043637697102
13800000,72081.0,172.3,4.4,14.75,19,3.5360229069522777,191.45128397219796
5000000,46786.0,71.86,4.27,9.92,2,16.326199868795545,106.86957636899928
11800000,114865.0,52.34,0.54,5.07,44,11.675236183929014,102.72929090671659
3500000,94416.0,25.19,0.41,5.62,26,13.981506468809512,37.069988137603794
6500000,42970.0,127.8,3.74,19.73,32,18.316757226139117,151.26832673958575
9000000,90937.0,79.06,15.8,4.11,6,15.317506250144639,98.96961632778736
5720000,58795.0,63.96,0.7,4.84,32,16.425888794828683,97.28718428437793
10400000,57326.0,161.92,11.74,7.76,4,14.84754571887043,181.4185535359174
11000000,26352.0,376.1,9.13,32.19,11,12.56417772402205,417.4256223436551
27200000,107898.0,133.61,8.07,16.46,17,23.27051842764823,252.08993679215556
5200000,43639.0,86.18,0.67,5.7,38,0.8599906333823133,119.15946744884164
2440000,13681.0,167.32,5.15,5.88,24,18.1540596855542,178.34953585264236
2220000,76132.0,17.97,0.2,2.09,5,17.18249624602773,29.159880208059686
10500000,71404.0,69.42,2.39,6.04,34,21.62728270462209,147.05058540137807
7300000,52424.0,75.79,1.42,14.1,6,18.17136626093113,139.24919884022586
3000000,83126.0,24.39,1.07,2.0,22,24.89056542036781,36.089791401005705
24000000,93685.0,119.2,2.52,13.71,11,28.79270643963882,256.17761648076
15500000,126593.0,50.09,4.19,6.49,48,10.60446558676703,122.43962936339292
19160000,150603.0,64.72,2.27,4.1,16,7.2068539993846175,127.22190129014695
6600000,48330.0,89.2,1.12,10.33,33,12.996107441404245,136.56114214773433
1718467,20724.0,52.84,1.97,3.92,9,8.99392368603392,82.92158849642927
8800000,60220.0,89.45,4.93,13.55,6,18.641032763003306,146.13085353703087
2500000,27765.0,66.14,0.98,7.68,16,27.399646060867457,90.04141905276427
3750000,75377.0,28.43,1.21,3.23,29,4.603927727220325,49.749923716783634
7766000,43089.0,154.62,1.76,23.85,3,3.473440788968652,180.2316136368911
15880000,96353.0,73.92,2.87,9.93,20,8.052458189683035,164.8106441937459
27550000,83660.0,193.69,3.74,26.77,36,21.919819788840822,329.30910829548174
13930000,107022.0,67.58,1.74,5.19,19,17.992405705135237,130.1601539870307
6400000,60929.0,75.36,0.36,3.49,26,3.515273594643388,105.04029279981619
9700000,58025.0,113.59,0.93,20.93,3,27.60314040669202,167.16932356742782
16600000,111702.0,79.59,6.09,9.55,19,23.807496795160557,148.6096936491737
23000000,92466.0,224.18,8.62,15.94,20,1.1791668412353067,248.74007743386758
6000000,33602.0,150.06,5.82,22.68,32,19.71533272415326,178.56079995238377
12500000,73529.0,147.65,3.7,18.65,7,23.25177672133227,170.00095200533124
7600000,56882.0,93.62,0.46,13.75,41,11.54584340675245,133.6099293273795
11500000,115834.0,40.66,1.62,9.86,33,2.5331854113329544,99.28000414386105
13350000,68532.0,131.44,3.52,12.65,40,2.780971431919224,194.7995097180879
9250000,70310.0,82.61,0.66,13.47,39,3.5752854985283804,131.56023325273787
18400000,95505.0,163.17,6.42,23.07,18,25.292969143422475,192.6600701533951
3980000,34714.0,70.42,0.59,11.34,40,27.365242848543534,114.65114939217607
7100000,91862.0,39.25,1.8,8.01,1,4.122918064449147,77.28984781520106
9300000,71467.0,81.2,1.2,9.96,11,7.459228020554895,130.12999006534486
12000000,78560.0,79.5,2.55,5.37,28,5.382855055835048,152.74949083503054
7350000,104761.0,41.04,2.55,3.39,25,5.99646594507656,70.15969683374539
6000000,40091.0,103.12,3.02,16.19,50,25.205978275573518,149.6595245815769
7760000,44786.0,163.43,4.92,4.92,23,10.2983191733207,173.26843209931675
11680000,70095.0,128.47,1.16,13.58,31,9.687605789346415,166.63100078464942
12500000,59946.0,149.2,1.25,13.86,30,7.208170815874823,208.52100223534515
5700000,46485.0,104.7,5.61,3.82,42,18.432884616930632,122.62020006453695
7380000,60383.0,72.47,0.51,8.39,35,11.689518102373691,122.21983008462647
6500000,60844.0,72.05,0.01,8.95,7,22.45536472937702,106.83058313062915
13000000,138340.0,38.69,0.93,9.85,16,6.564604347081306,93.97137487350007
18200000,93989.0,96.58,6.0,8.01,26,23.739801717077526,193.63968123929396
2235260,12251.0,157.02,1.88,23.56,48,18.3097851860391,182.45530977063098
21250000,97112.0,122.62,2.71,9.87,49,3.8708853516427886,218.81950737293022
1500000,33829.0,42.59,0.49,1.26,2,12.727885234007017,44.340654468059945
2620000,262000.0,7.35,0.11,0.85,1,25.97378514808223,10.0
5155000,45243.0,85.14,1.11,2.43,48,27.727326838055305,113.94027805406361
13000000,99701.0,88.78,1.5,11.89,12,14.23815360840499,130.38986569843834
20860000,78031.0,231.18,2.25,6.14,5,14.68469085362767,267.3296510361267
9000000,64884.0,105.36,4.34,12.09,37,27.594414385709385,138.70908082115776
6600000,32175.0,173.37,4.75,27.01,32,17.818512612028734,205.12820512820514
25000000,124465.0,114.16,4.94,6.61,9,1.4689767721814313,200.85967942795162
10550000,81035.0,110.1,5.14,14.95,41,27.426109154934302,130.19065835749984
7450000,73471.0,57.85,4.24,4.82,35,7.822680061335981,101.40055259898463
6600000,58397.0,66.28,1.87,9.93,19,17.540142645700644,113.01950442659725
13500000,63881.0,102.05,1.35,19.54,48,5.382642864125228,211.3304425416008
11000000,83498.0,59.77,3.38,9.0,16,1.4994352272745521,131.7396823876021
7900000,50521.0,87.55,1.37,11.28,3,9.688458548416344,156.37061815878545
28500000,146447.0,109.89,4.94,6.61,20,23.524623372609586,194.6096540045204
19000000,128569.0,77.97,2.34,9.33,24,8.688821592567834,147.7805691885291
4600000,44002.0,81.12,0.82,9.05,33,6.992867815392363,104.54070269533203
16440000,118249.0,66.49,0.86,8.37,24,6.7740831380661755,139.028659861817
70000000,69828.0,655.91,5.99,38.44,11,15.697623631000972,1002.4631952798304
12500000,81619.0,68.49,3.41,15.44,49,29.27846881264131,153.15061444026514
18680000,115807.0,80.44,3.02,11.27,8,14.040175146501884,161.30285734022988
6600000,58839.0,70.82,0.28,9.89,36,16.940508382256414,112.17049915872126
4200000,78666.0,35.3,0.96,6.42,38,25.888644527776652,53.39028296849973
18100000,92780.0,90.96,2.9,17.56,40,16.28455670854293,195.08514766113387
16600000,89094.0,90.96,2.9,17.56,20,5.941654706856255,186.3200664466743
8200000,88087.0,45.26,1.83,13.23,35,9.338079397111073,93.08978623406405
8500000,44426.0,88.65,55.34,13.35,48,9.643139324924022,191.32940170170622
12800000,64267.0,140.07,1.92,15.36,25,12.220884405999138,199.16909144662114
12400000,90896.0,68.84,3.86,3.41,35,13.090272707434107,136.41964442879774
11500000,72679.0,89.93,0.95,9.32,25,24.093569651190947,158.2300251792127
11700000,118379.0,43.29,4.69,4.01,29,10.806916471955324,98.83509744126914
80000000,95328.0,629.97,31.31,44.17,18,14.31283893902069,839.2077878482712
10500000,65080.0,99.32,1.88,25.11,46,18.936791618006044,161.339889366933
13000000,55780.0,207.56,12.9,12.6,18,11.642915449484994,233.05844388669775
29700000,118237.0,221.04,0.95,29.2,2,25.17866199212382,251.19040571056436
16680000,62495.0,204.72,1.09,16.14,35,17.829881324905195,266.9013521081687
8230000,101932.0,47.16,3.45,2.73,16,9.174318037018661,80.74010124396656
18000000,96894.0,156.0,2.41,27.36,41,21.564746393799933,185.7700167193015
7300000,65039.0,82.72,6.38,10.88,36,16.065608039271183,112.24034809883301
14890000,90456.0,139.25,2.35,23.01,33,16.266448792088784,164.61041832493146
11000000,55911.0,174.1,5.66,16.98,4,14.692094477433786,196.74124948578992
18300000,81544.0,115.02,1.96,17.54,33,15.161852490226845,224.4187187285392
7750000,66822.0,82.06,2.16,7.32,14,23.0780102914541,115.97976714255785
9850000,51235.0,174.45,4.45,13.35,21,3.5379536402738077,192.25139065092222
7300000,67574.0,47.19,4.45,2.62,48,10.363702933659225,108.02971557107763
16300000,85857.0,157.14,3.48,29.23,20,2.727349232214732,189.85056547515055
16600000,123579.0,66.41,1.82,6.16,8,22.7207635120498,134.32702967332636
11770000,118895.0,47.87,4.37,3.89,7,8.532904714248833,98.99491147651288
12450000,126654.0,47.87,4.37,3.89,3,26.974197089657086,98.29930361457198
15690000,114941.0,66.41,1.82,6.1,17,16.034064766449166,136.50481551404633
13720000,117771.0,58.34,2.17,6.63,33,24.12211825884057,116.49727012592234
19280000,115026.0,84.54,0.86,8.54,48,29.378477350670856,167.61427851094535
13740000,118440.0,58.34,2.17,6.63,12,25.273771353968833,116.0081053698075
16570000,119347.0,66.49,0.86,8.37,22,26.076315920339944,138.83884806488643
20090000,119864.0,84.54,0.86,8.54,22,12.535542613262919,167.60662083694854
13990000,26234.0,504.48,7.2,21.6,46,16.775816560150524,533.2774262407563
29990000,82781.0,162.42,3.58,28.62,30,7.989712639277476,362.2811997922229
9500000,51777.0,133.69,3.46,8.96,38,6.285336440956858,183.47915097437087
16000000,53158.0,227.98,10.53,36.74,38,15.412482433627996,300.9895029910832
38680000,114090.0,179.58,0.88,20.52,45,18.053944901162406,339.03058988517836
34880000,146198.0,120.58,7.46,12.42,8,10.508501753937633,238.58055513755318
13990000,119874.0,58.34,2.17,6.63,27,17.29858377402326,116.70587450155998
13100000,90289.0,84.5,2.3,8.21,27,26.68008423414834,145.0896565473092
27400000,134562.0,97.18,2.87,18.52,34,16.9232867511093,203.6236084481503
6700000,95360.0,38.08,2.39,5.49,21,21.763986341159946,70.26006711409396
7260000,89729.0,47.65,3.03,3.26,30,24.2567915370582,80.9102965596407
9500000,100317.0,52.75,3.56,5.61,33,29.66749906768556,94.69980162883658
7170000,102050.0,38.08,2.39,5.49,28,18.294323364220897,70.25967662910338
73000000,124746.0,281.2,18.58,50.11,47,24.302079394396287,585.189104259856
8080000,99963.0,43.63,3.56,5.61,33,28.8981548973688,80.82990706561428
7520000,94710.0,44.52,1.89,5.53,5,28.360086904529567,79.40027452222574
16850000,86041.0,90.96,2.9,17.56,48,4.6619145389425505,195.83686846968305
15680000,79174.0,90.96,2.9,17.56,19,12.488573094068899,198.04481269103493
8420000,106045.0,44.52,1.89,5.53,4,10.05770680265059,79.40025460889245
9350000,101432.0,51.09,3.56,5.61,35,3.064287941035305,92.17998264847385
9230000,97466.0,52.75,3.56,5.61,49,19.180602859873336,94.69969014835942
